entry_sk	member_sk	company_or_school	pos_or_edu_rank	title_or_degree	seniority_or_degree_rank	function_or_field	begin_month	end_month	is_job	is_edu
768423795	74749430	1294365	2	2498	4	4	3/1/2012	5/1/2013	1	0
141333265	17951963	82005	4	13337	4	25	5/1/2007	12/1/2008	1	0
717002362	43099587	145411	1	1174	4	24	5/1/2012	9/29/2014	1	0
1070464538	48735257	24779	2	3981	5	18	9/1/2013	8/1/2014	1	0
818057250	23115260	-9	5	153	8	13	1/1/2002	12/1/2004	1	0
412860946	50242147	145411	3	9	3	8	7/1/2011	2/1/2013	1	0
291154673	82773481	152725	2	6090	3	22	1/1/2011	3/1/2013	1	0
875646067	6468272	145411	1	22480	4	13	1/1/2013	9/29/2014	1	0
305757554	17708060	81654	4	16027	3	15	9/1/2010	8/1/2011	1	0
132623816	13916603	-9	3	20	4	25	6/1/2005	7/1/2006	1	0
281216778	50510687	158925	3	2807	4	12	1/1/2010	10/1/2013	1	0
656170641	170532943	2667	4	1933	10	20	4/1/2010	8/1/2012	1	0
371521408	86292023	367339	5	79	3	12	1/1/2010	3/1/2012	1	0
630207607	128537482	4868	7	41	3	8	9/1/2010	12/1/2010	1	0
396247859	77235786	159367	2	16356	4	13	6/1/2011	1/1/2012	1	0
354800731	84364007	157514	2	9	3	8	9/1/2010	3/1/2014	1	0
334928324	15903538	145411	2	20	4	25	1/1/2011	12/1/2012	1	0
862493122	20176231	145411	1	2044	4	19	1/1/2013	9/29/2014	1	0
137399339	17406338	68687	2	15336	4	25	4/1/2011	9/1/2013	1	0
111816000	1755856	83367	5	651	3	8	5/1/2005	7/1/2008	1	0
654931381	170277957	83367	2	-9	-9	-9	10/1/2011	4/1/2012	1	0
467089452	111784025	-9	4	80	3	10	9/1/2009	6/1/2010	1	0
410480320	112101688	35987	6	1827	3	12	1/1/2003	12/1/2004	1	0
250266636	5575224	30330	10	12870	3	26	9/1/2000	4/1/2002	1	0
292338332	66231804	154916	5	15105	3	13	8/1/2010	12/1/2010	1	0
291367838	305519	66992	5	4	4	20	9/1/2008	11/1/2010	1	0
1308621297	355830859	2025376	3	960	3	26	1/1/2013	4/1/2013	1	0
991747544	261830756	74505	4	1922	5	-9	5/1/2013	6/1/2014	1	0
1203681898	25830650	145411	1	3364	4	13	3/1/2014	9/29/2014	1	0
387202869	83802085	145411	3	2868	3	13	5/1/2011	8/1/2011	1	0
801451305	131025889	144841	7	462	3	21	10/1/2005	12/1/2005	1	0
206121872	21608670	-9	7	2394	4	23	4/1/2004	3/1/2006	1	0
737301426	141266069	145411	3	2286	3	25	7/1/2012	12/1/2012	1	0
274064239	42062384	690825	8	7970	4	20	2/1/2010	10/1/2010	1	0
781825653	63784902	32851	5	19812	4	10	5/1/2011	10/1/2011	1	0
1328559114	34114960	145411	1	211	5	25	8/1/2014	9/29/2014	1	0
283532696	14412205	145411	3	8574	5	15	7/1/2010	6/1/2013	1	0
395524466	107154546	74089	5	165	4	25	4/1/2011	8/1/2011	1	0
910549329	65991083	2143301	2	741	4	6	6/1/2010	9/29/2014	1	0
831783922	124934531	145411	1	19540	4	18	11/1/2012	9/29/2014	1	0
121748886	6923664	-9	5	11	4	25	4/1/2000	1/1/2006	1	0
264062707	6575568	138006	3	982	4	25	1/1/2007	12/1/2010	1	0
168549539	39042399	111460	3	1590	5	15	9/1/2005	11/1/2006	1	0
237948208	12861834	39751	6	340	4	13	1/1/1999	12/1/2004	1	0
446368839	6259574	-9	2	3329	4	26	8/1/2011	5/1/2012	1	0
303893655	4566634	64255	5	801	3	12	1/1/2003	12/1/2004	1	0
1140803487	1131130	29254	6	9157	5	18	6/1/2008	7/1/2009	1	0
927126496	159404712	950036	3	453	3	25	3/1/2013	3/1/2014	1	0
125724736	10369553	153008	3	7915	6	12	1/1/2008	9/1/2010	1	0
156262234	34344715	-9	4	17	7	-9	4/1/2007	9/1/2011	1	0
862298451	6260819	145411	1	586	7	18	1/1/2013	9/29/2014	1	0
342866876	9287254	1126648	11	91	3	12	1/1/2005	6/1/2005	1	0
325391938	42617599	-9	3	58	3	3	1/1/2006	1/1/2012	1	0
394014956	49117254	-9	10	19069	2	15	6/1/2010	8/1/2010	1	0
194677164	30160190	20716	4	3238	4	11	12/1/2007	8/1/2010	1	0
115566837	624920	83367	4	631	9	12	6/1/2006	7/1/2008	1	0
446833532	143090327	58339	2	6393	4	25	12/1/2005	4/1/2013	1	0
862404178	224345873	-9	10	2506	3	25	8/1/1997	3/1/1999	1	0
870191518	56832962	780650	3	11845	2	13	6/1/2011	9/1/2011	1	0
1060242086	99897525	145411	1	156	3	15	9/1/2013	9/29/2014	1	0
168843371	1247097	159043	12	1152	4	22	1/1/2001	12/1/2002	1	0
1101933358	79472883	145411	5	5097	4	26	10/1/2013	12/1/2013	1	0
